sentence,label_name,label_ID,language
"The Justice Department, reviewing national security and immigration, floated the idea in April to give local police new powers to detain and deport illegal immigrants. Those duties are performed exclusively now by 2,000 agents for the Immigration and Naturalization Service (INS).",Policy Prescription and Evaluation,6.0,en
"WAR ON TERRORISM: Opposition heard on tighter immigration laws ; Shorter visas, police help face new resistance",Security and Defense,8.0,en
"Many of the measures will target the Imperial Valley, a region crisscrossed by irrigation waterways including the swift-moving All American Canal, where 17 people have drowned since Oct. 1.",Security and Defense,8.0,en
"Fourteen million refugees worldwide languish in overcrowded refugee camps, waiting to begin new lives free from persecution for reasons of race, religion, nationality, social group or political opinion.",Quality of Life,10.0,en
"Conviction in kidnap of debtor; An A.C. man accused of loan-sharking abducted a gambler who didn't pay up, a federal jury decided.",Crime and Punishment,7.0,en
"Immigration agents at the nation's border crossings, airports and seaports will begin this week to fingerprint foreigners who they suspect may pose security risks and will require those visitors to regularly report where they are staying and what they are doing in the United States.",Security and Defense,8.0,en
"Most of the jail's inmates are INS detainees, who were arrested in one of the three states that make up the Chicago district -- Illinois, Indiana and Wisconsin.",Crime and Punishment,7.0,en
UNIVERSITY OF MINNESOTA: INS interviews students,Policy Prescription and Evaluation,6.0,en
"University of Minnesota students already interviewed have told Luis Bartolomei, the immigration attorney for the University Student Legal Service, that ""the process is relatively smooth. There's not a lot of friction between the officers and interviewees.""","Legality, Constitutionality, Jurisdiction",5.0,en
Force is with them Coney NYPD post targets rise in muggings,Crime and Punishment,7.0,en
Immigrants say wiring money home too costly,Economic,1.0,en
NEIGHBORHOOD REPORT: JACKSON HEIGHTS,Other,15.0,en
"Guy Santiglia, the 37-year-old engineer who filed the complaint and is appealing the finding, said he thought the posting violation was serious.","Legality, Constitutionality, Jurisdiction",5.0,en
"Federal immigration officials have notified the lawyers for Al-Arian and one of the other defendants in the case   of their intent to keep the two men in custody, even if the magistrate grants them bail.","Legality, Constitutionality, Jurisdiction",5.0,en
The testimony came on the third day of a bail hearing that will  probably continue until Wednesday. U.S. Magistrate Judge Mark Pizzo is hearing testimony to determine whether to grant some or all of the men bail or keep them in custody until their cases are resolved.,"Legality, Constitutionality, Jurisdiction",5.0,en
Sponsors on the House Judiciary Committee voted Saturday to amend the original measure after it became apparent that it was likely to fail in a House vote.,Political,13.0,en
HOUSE KEEPS U.S. DOORS OPEN,Political,13.0,en
"The bill, signed by Gov. Bill Owens  on Thursday, will drop some 3,500 documented immigrants from the  state's Medicaid program beginning April 1 as part of an effort to  make up an $ 870 million budget deficit.",Policy Prescription and Evaluation,6.0,en
"Shouldering a language burden; In immigrant families, children's roles as interpreters full of pressure, peril.",Quality of Life,10.0,en
"An employer must pay the foreign worker a designated ""prevailing wage"" for the position as determined by the Labor Department. That wage is generally higher than the free-market rate for the position.",Economic,1.0,en
The Justice Department is investigating how a Queens man allegedly obtained authentic Immigration and Naturalization Service documents and sold them to illegal aliens.,Crime and Punishment,7.0,en
"It's hard to imagine what would happen to Florida's economy without the Mexican workers who toil in the fields, hotel rooms, restaurants and construction industry. ",Economic,1.0,en
Lawmakers urge fair review in INS fraud cases,Fairness and Equality,4.0,en
"Kasuri said he would raise the issue along with other matters when he meets Secretary of State Colin L. Powell, national security adviser Condoleezza Rice and members of Congress next week. Kasuri and his advisers said Pakistan would also ask Washington to resume arms sales to Pakistan, lift a travel advisory warning U.S. citizens not to visit Pakistan and increase market access in the United States for Pakistani textiles.
",External Regulation and Reputation,14.0,en
"Gingrich said that requiring states to provide their schooling was a federal ""unfunded mandate"" - an order from Washington that the federal government does not pay for.","Legality, Constitutionality, Jurisdiction",5.0,en
NEWCOMERS SHARE AMERICAN VALUES,Cultural Identity,11.0,en
Caught up in terror war,Security and Defense,8.0,en
They were among 200 people who came to Manhattan Federal Court one day this month to take an oath of allegiance as new Americans.,"Legality, Constitutionality, Jurisdiction",5.0,en
Monitoring immigrant sign-ups,Policy Prescription and Evaluation,6.0,en
"Travelers entering, leaving U.S. face tighter scrutiny",Security and Defense,8.0,en
"The insatiable appetite for more power by those who already have it is always justified by 'necessity.' """,Morality,3.0,en
National Briefing Southwest: Texas: Convictions For Ex-I.N.S. Officers,Crime and Punishment,7.0,en
IMMIGRANTS FIND NEW RESOURCES,Capacity and Resources,2.0,en
A seventh person has been arrested for her alleged role in a smuggling operation that led to the deaths of 19 illegal immigrants who had been packed into a sweltering tractor-trailer.,Crime and Punishment,7.0,en
"A Far Rockaway man was sentenced to 18 years to life in prison for murdering an African immigrant working in a store on Dec. 12, 2000.",Crime and Punishment,7.0,en
TOLL RISES IN TEXAS MIGRANT TRAGEDY; ANOTHER HEATSTROKE VICTIM IN HIGHWAY SMUGGLING CASE,Health and Safety,9.0,en
JAMAL SAYS HE TRUSTS COURTS TO CLEAR HIM SOMALI ACTIVIST HELD IN IMMIGRATION CASE,"Legality, Constitutionality, Jurisdiction",5.0,en
"The law could help 2,334 more people in Palm Beach County and 6,890 in the four-county region of the Treasure Coast, according to the Florida Department of Children and Families.","Legality, Constitutionality, Jurisdiction",5.0,en
"The party has formed Nevadans First, a committee to prepare language for the initiative that would be similar to California's Proposition 187 and could go before Nevada voters in 2006.
",Political,13.0,en
Immigration Reform Growing at the Grassroots,Political,13.0,en
"Judges: U.S. may deport boy, 13; His father put him on a plane from Ghana in 2000. A 3-judge panel backed earlier decisions.
","Legality, Constitutionality, Jurisdiction",5.0,en
"""The sponsor has to be able to assume the costs of shelter, food and health care,"" said David Ray, spokesman for the Federation for American Immigration Reform. ""If they can't, it will be a drain on federal funds.""",Economic,1.0,en
Mr. Ghounem was deported to his native Egypt last week.,Crime and Punishment,7.0,en
"Mayor Bloomberg's decision to personally call one of his most outspoken critics on the issue, Councilman Hiram Monserrate of Queens, and to form a new group to try once more to reach a compromise reflects how politically sensitive the matter has become for him.",Political,13.0,en
On Aug. 25 he finally received word that the Board of Immigration Appeals had overturned its earlier decision and would allow him to stay as a political refugee.,"Legality, Constitutionality, Jurisdiction",5.0,en
IMMIGRANTS DREAM OF AN EDUCATION Push law to school illegals,Quality of Life,10.0,en
"The DREAM Act would apply to undocumented immigrants living in the U.S. continuously for at least five years who are graduates of a high school in the U.S. Under the Student Adjustment Act, an individual cannot be older than 21 years of age.",Policy Prescription and Evaluation,6.0,en
"Special agents captured a dozen people accused of organizing a smuggling operation in which 19 immigrants died after being locked in a tractor-trailer, the government said.",Crime and Punishment,7.0,en
Employers also would be barred from laying off U.S. workers at the same time they petitioned the government to bring in foreign workers.,Economic,1.0,en
"From 1990 to 2000, the 20-county metro area's foreign-born population jumped 278 percent, to 423,105, according to the Census Bureau. Some of that growth is reflected in the already established multicultural strongholds along Buford Highway, in Chamblee and Doraville. The increased presence is not limited to those areas, however. From Carroll and Douglas counties on Atlanta's west to Rockdale and Walton on the east, from Coweta on the south to Forsyth and Pickens on the north, the number of residents born in other countries has skyrocketed.",Cultural Identity,11.0,en
Billions sent home south of the border; Money flow: Area's Mexican immigrants typically send home $300 to $400 a month.,Economic,1.0,en
Ellis Island pays tribute to immigrants Recent renovations don't whitewash past,Cultural Identity,11.0,en
NEW AND SOON-TO-BE CITIZENS CELEBRATE NATION'S BIRTHDAY,Cultural Identity,11.0,en
"DMV agents could be called on to examine thousands of different immigration documents from applicants trying to verify their legal status -- everything from foreign passports to papers guaranteeing political asylum. And the more time agents spend examining those papers, officials say, the longer the lines will be for everyone.
",Capacity and Resources,2.0,en
A DIFFERENT FAMILY RITUAL: HOT POT; COMING TOGETHER AROUND A CONTAINER OF BOILING BROTH,Cultural Identity,11.0,en
"Hot pot is traditionally eaten on Lunar New Year's Eve. The communal activity represents the bond of the family, which gathers around a warm pot to share good wishes for the coming year.",Cultural Identity,11.0,en
"Immigration was a factor in the recent California recall election,  but it is not so clear that it will figure prominently in next  year's election. For example, the subject wasn't even mentioned in  last Sunday's debate of the nine Democratic presidential  contenders.
",Political,13.0,en
"The lawsuit, which was filed Wednesday in Ramsey County District Court, said the state refuses to pay $1,400 per month for the drugs, but the federal government will probably pay $3,600 per month for his dialysis.","Legality, Constitutionality, Jurisdiction",5.0,en
Also Opening,Other,15.0,en
"Yarbrough was referring to two council votes, one on the city's immigration policy and the other on the USA Patriot Act.",Political,13.0,en
"Virginia Attorney General Jerry W. Kilgore (R), who is defending the schools, said he was pleased by the ruling. Kilgore's 2002 memo to Virginia's public colleges and universities, which urged them to reject illegal immigrants, was one impetus for the lawsuit, Ellis wrote. The suit was filed in September in U.S. District Court in Alexandria.","Legality, Constitutionality, Jurisdiction",5.0,en
He is right that illegal immigrants are eligible for welfare and other benefits,Quality of Life,10.0,en
"This is the falsehood. Or, at least, it's incomplete to the point  of deception. If Americans don't want these jobs, it's usually  because these jobs offer wages and conditions that are unattractive  to them.",Policy Prescription and Evaluation,6.0,en
"Several men believed to be immigrant smugglers were arrested during Wednesday's roundup. No charges were filed Thursday, officials said.",Crime and Punishment,7.0,en
"The woman had been cooperating with the police against the owners of a Flushing bar that she said had held her captive in a case of human trafficking, federal prosecutors in Brooklyn said yesterday. The woman said they beat her and tried to coerce her to become a prostitute to pay back an ever-growing debt.",Crime and Punishment,7.0,en
"I believe every legal immigrant, no matter what nationality, should be encouraged to become a citizen.","Legality, Constitutionality, Jurisdiction",5.0,en
"In an unprecedented move, Georgia State University officials have granted four illegal immigrants, all top graduates of area high schools, full-tuition scholarships this year.",Quality of Life,10.0,en
About New York; A Latin Takes Manhattan,Cultural Identity,11.0,en
Workers In the Shadows,Quality of Life,10.0,en
U.S. Immigrant Labor Plan Leaves Mexicans With Doubts,Policy Prescription and Evaluation,6.0,en
POLL: AMERICANS BACK IMMIGRATION LIMITS,Public Sentiment,12.0,en
"Under these provisions, Grove, a Hungarian refugee, would have had a tougher time getting a job after receiving his doctorate from UC-Berkeley. Vinod Khosla and Andreas Bechtolsheim, two of the four ex-Stanford and UC-Berkeley students who started Sun Microsystems, might have been forced to form their corporation overseas. And many less famous but still important contributors would have ended up working overseas, either for a U.S. company or a competitor.",Policy Prescription and Evaluation,6.0,en
People of Mexican origin accounted for two-thirds of Minnesota's Latinos.,Cultural Identity,11.0,en
"""At first we thought it was our computers, but then we heard people all over the city were having the same problem,"" said immigrant advocate Rufus Zumo Arkoi, who helped applicants at Staten Island's African Community Center. ""It was a bit frustrating - everybody just wanted the chance.""",Capacity and Resources,2.0,en
"Determining the legal status of an arrested person isn't a practice that local law enforcement officials engage in, said Cpl. Dan Huggins, spokesman for the Gwinnett Police Department.","Legality, Constitutionality, Jurisdiction",5.0,en
Jody Dyer is worried that she won't be able to rent all the rooms in her inn this summer because there won't be enough workers to clean them.,Capacity and Resources,2.0,en
"A dozen men convicted of sex crimes against children were arrested in the Washington area last week and targeted for deportation under a new national program aimed at foreign-born sex offenders, Immigration and Customs Enforcement officials said yesterday.",Crime and Punishment,7.0,en
"The men were rounded up after federal agents launched a review of the 11,000 people registered as convicted sex offenders in Virginia. The agents were looking for those who had committed crimes specifically against children and were not U.S. citizens and therefore eligible for deportation, according to Kevin Delli-Colli, acting special agent in charge of the Washington Immigration and Customs office.",Crime and Punishment,7.0,en
"Immigrants will tell you that dealing with the U.S. Citizenship and Immigration Services (USCIS) - one of three former Immigration and Naturalization Service components that joined the U.S. Department of Homeland Security on March 1, 2003 - is even more unpleasant than a visit to the dentist.",Quality of Life,10.0,en
"DEPORTATION OVERTURNED FOR MODERN-DAY JEAN VALJEAN NATIVE OF MEXICO HAS LIVED IN U.S. 25 YEARS, OWNS BUSINESS","Legality, Constitutionality, Jurisdiction",5.0,en
"An immigration judge made the finding of good character last year despite Castrejon's 1975 conviction for illegally transporting illegal immigrants within the United States. He served six months in jail, and later was jailed for 18 months for violating probation by reentering the country.",Crime and Punishment,7.0,en
"5 Charged in Work Visa Fraud; Men Secured False Papers for Immigrants, Indictment Alleges",Crime and Punishment,7.0,en
"The case is the first in which a foreigner was ruled inadmissible for having engaged in genocide, a grounds for denying admission since 1990.","Legality, Constitutionality, Jurisdiction",5.0,en
TAKING A DEEPER LOOK IMMIGRATION A NET GAIN FOR ECONOMY,Economic,1.0,en
Drivers' Licenses and Terrorism,Security and Defense,8.0,en
"the Bush administration has to make a show of somebody. Preferably, somebody who isn't likely to visit a polling place in the near future.",Political,13.0,en
Immigrant's Search for a Heart Is Frustrating,Health and Safety,9.0,en
A PAKISTANI man from Queens who videotaped office buildings and landmarks in New York and throughout the South was indicted yesterday on unrelated immigration charges.,Crime and Punishment,7.0,en
FEDS NAB 100 ILLEGAL ALIENS,Crime and Punishment,7.0,en
Federal immigration authorities have detained a Saudi citizen who works as a computer security specialist here at the University of Washington's School of Nursing.,Crime and Punishment,7.0,en
DEUTSCH BACKS BILL AT ODDS WITH HIS IMMIGRATION POLICY,Political,13.0,en
"Immigration duty a burden, police say",Crime and Punishment,7.0,en
"Alcantara, who was released from jail Monday on her own recognizance, pleaded no contest to 28 felony counts of similar charges. She faces two to three years in prison.",Crime and Punishment,7.0,en
Metro Briefing  New York: Queens: Arrest In Gun Trafficking,Crime and Punishment,7.0,en
"The man who died was declared dead at the scene, the authorities said. The other aliens were taken to local hospitals, where four remained today. The condition of the injured agent was not disclosed.",Health and Safety,9.0,en
THE KERIK BACKSTORY,Other,15.0,en
WOMEN OF VALOR TRIO FIGHTS LENDERS WHO PREY ON THE UNDOCUMENTED,Morality,3.0,en
"She also blasted the administration's deportation of Haitians back to their poverty and storm-ravaged land, saying other immigrants are treated more favorably.",Fairness and Equality,4.0,en
Jury selection starts in deadly smuggling case,Crime and Punishment,7.0,en
Jury selection starts in deadly smuggling case,"Legality, Constitutionality, Jurisdiction",5.0,en
But he surely had no idea his presence would arouse a controversy that would go all the way up to the U.S. attorney general.,"Legality, Constitutionality, Jurisdiction",5.0,en
"A Mother Deported, and a Child Left Behind",Crime and Punishment,7.0,en
"The rage is real and is echoed in the 49 percent of Americans who want to reduce immigration, according to a Gallup poll in July.",Public Sentiment,12.0,en
"Deputies had been chasing the truck, but broke off pursuit before the accident.",Crime and Punishment,7.0,en
"""These are all immigration-related charges and Mr. Akhtar thought it was in his best interest to accept the plea offer and minimize his amount of prison time and expedite his departure to Pakistan,"" defense lawyer George N. Miller said Thursday. ""He's going to be deported after serving any prison time ordered as a result of this plea agreement.""",Crime and Punishment,7.0,en
U.S. steps up border control,Security and Defense,8.0,en
SECOND OPINION Unchecked and illegal,Crime and Punishment,7.0,en
"Undocumented workers, most of whom toil uncomplainingly for a pittance, are a boon to employers, but they probably depress wages for low-income U.S. citizens.",Economic,1.0,en
Government ignores honest solution to illegal immigration,Political,13.0,en
"Re: Illegal immigration surges by 485,000 people yearly, March 22.",Capacity and Resources,2.0,en
CABBIE SAYS COURT CASE IS LIFE OR DEATH JUDGE MAY ORDER HIM BACK TO AFGHANISTAN,"Legality, Constitutionality, Jurisdiction",5.0,en
"""I read a book, and my heart accepted,"" Ahmadshah said. ""I believe that this is the book that says the truth.""",Morality,3.0,en
The Everymigrant's Guide to Crossing the Border Illegally,Security and Defense,8.0,en
They also demanded an apology from state Republican officials.,Political,13.0,en
"Colorado Republicans are paying for the spot to air locally, but it is also running in 17 other states.",Political,13.0,en
"Some two-thirds of Latino adults are first-generation immigrants, who overwhelmingly are most comfortable in Spanish. Few will ever read an English or a mostly English paper. But by fostering readership, we do hope that their American-educated children might do otherwise.",Cultural Identity,11.0,en
"ESTEBAN NAVARRO'S disappearance broke a lot of hearts at Trenton Central High School, where the dropout rate among Hispanic students is triple the state average.",Quality of Life,10.0,en
Immigrants' English,Cultural Identity,11.0,en
"The march on June 12 will be a straight shot down Main Street and will double as a kind of walking tour of the tension here.
",Public Sentiment,12.0,en
"Today, thanks to a little known document called the U visa, that benefits immigrant crime victims, Perez, 44, has a work permit and a temporary document that allows her to remain in the United States.
","Legality, Constitutionality, Jurisdiction",5.0,en
U.S. QUIETLY RELEASES ALLEGED HAITIAN TERRORIST WHO WORKED WITH CIA,Security and Defense,8.0,en
``Sanctuary'' policy sparks radio fracas,Policy Prescription and Evaluation,6.0,en
SUSPECTED SMUGGLER HELD WITH 6 NEW IMMIGRANTS,Crime and Punishment,7.0,en
"U.S. Border Patrol agents arrested Kittles, who had a portable navigating system, when they found him and the immigrants between the 100 and 400 blocks of Beach Road.",Security and Defense,8.0,en
"A House and Senate conference now taking place has included the requirements, ",Political,13.0,en
The bill would forbid the Wisconsin Housing and Economic Development Authority from helping people without Social Security numbers get mortgage loans.,Policy Prescription and Evaluation,6.0,en
fell seven votes short of the 60 needed to force the Senate to consider the measure.,Political,13.0,en
Arizona lawmakers considering new restrictions against illegal immigrants have stifled an attempt to punish businesses that get caught hiring illicit foreign labor.,Crime and Punishment,7.0,en
"As Government Cap on Work Visas Rises, So Does Confusion",Capacity and Resources,2.0,en
Woman Fleeing Tribal Rite Gains Asylum; Genital Mutilation Is Ruled Persecution,"Legality, Constitutionality, Jurisdiction",5.0,en
The nation's highest immigration court ruled yesterday that a 19-year-old West African woman should be granted political asylum because she fears the bloody but traditional practice of genital mutilation by members of her tribe.,"Legality, Constitutionality, Jurisdiction",5.0,en
"An estimated 80 million women have been subject to genital mutilation worldwide, according to the Immigration and Naturalization Service (INS). The crude and frequently dangerous practice is often performed on girls at the age of puberty. The opinion cited evidence that genital mutilation has often been used to assure male domination of women.",Health and Safety,9.0,en
"Atef Hasan Ismail Idais had lived in Philadelphia since he arrived from the Palestinian territories in 2000. He was arrested Sept. 9, 2004, on a charge of falsifying a visa application and has been in federal prison since.",Crime and Punishment,7.0,en
"Hour after hour, Antonia Lopez Paz said, her supervisor at the Koch Foods poultry plant here told women on the deboning line that production demands were so great that they could not go to the bathroom.",Quality of Life,10.0,en
"Las Chepas is home to a dozen full-time residents. A Border Patrol agent, Rick Moody, said agents monitored the area with a tower-mounted camera and watched as a daily caravan of old school buses ferried people along a dusty washboard road into the town.",Security and Defense,8.0,en
Aurora battles language barrier for immigrants,Cultural Identity,11.0,en
Van services a conduit for illegal immigrants,Crime and Punishment,7.0,en
"Eighty percent of all Hispanics said immigrants strengthen the United States because of their hard work, while 14 percent said they are a burden because they take jobs, housing and health care.

In addition, 56 percent of Hispanics said they favor a temporary worker program that would let illegal immigrants continue to live and work in the United States for a number of years before returning home.",Public Sentiment,12.0,en
"PRIMARY
",Public Sentiment,12.0,en
"""I didn't promise them a green card, because I don't give illegal green cards. I don't do anything illegal,"" said the Colombian-born defendant. ""And I never - on my mother's grave - I never told anyone that I was a lawyer.""",Crime and Punishment,7.0,en
FBI spokesman Barry Maddox said Haider's name was in the database of the FBI's National Crime Information Center.,Crime and Punishment,7.0,en
A Fair Policy On Immigration,Fairness and Equality,4.0,en
Immigrant workers,Economic,1.0,en
"U.S. Immigration Judge John Richardson granted a request from the four to exclude key evidence in the case, ruling that agents questioned the students based on their Hispanic appearance.","Legality, Constitutionality, Jurisdiction",5.0,en
Group watching border in California; 30 VOLUNTEERS MET BY PROTESTS,Security and Defense,8.0,en
The arrest of Francisco J. Martinez marked the second time in two years that a Northern Virginia DMV employee was accused of fraudulently selling licenses for cash. A similar scheme two years ago at the DMV office in Tysons Corner led to the guilty pleas of two employees.,Crime and Punishment,7.0,en
"The case is the latest in a federal crackdown on document and identity fraud in Virginia since the Sept. 11, 2001, attacks on the World Trade Center and Pentagon. Seven of the 19 hijackers in the attacks had fraudulently obtained Virginia documents.",Security and Defense,8.0,en
Mexico's consul general for the New York region said on Friday that the Long Island community of Farmingville had become a national flash point on immigration issues because of the latest conflict over day laborers evicted from overcrowded houses cited as unsafe.,External Regulation and Reputation,14.0,en
LAW AGENCIES MEET TO COMBAT INTERNATIONAL GANGS,Crime and Punishment,7.0,en
"Ying Xiong, 28, has attended the Hmong Sports Festival in St. Paul ""every year for as long as I can remember."" On Saturday, he took Tou Vang Hang, who had never been to the annual gathering, with him.",Cultural Identity,11.0,en
ENCLAVE ATTRACTS FAMILIES STARTING ANEW,Quality of Life,10.0,en
Immigration reform impractical,Policy Prescription and Evaluation,6.0,en
Illegal immigration is group's focus,Public Sentiment,12.0,en
Illegal migrants hurt in Calif. crash,Health and Safety,9.0,en
"Twenty-eight people were in the van when it overturned while the driver tried to avoid a strip of spikes that agents had placed in its path. Eight people suffered life-threatening injuries. Thirteen were being treated for minor injuries, said Maurice Luque, a spokesman for the San Diego Fire-Rescue Department.",Health and Safety,9.0,en
"According to the U.S. Census Bureau, there were 434,938 foreign-born people living in Colorado in 2004, which constituted about 10 percent of the state population. About half of them (estimated around 200,000) were believed to be undocumented.",Cultural Identity,11.0,en
