text,language,None,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
"Employers say a shortage of skilled American workers forces them to turn overseas, although even Palm Beach County's largest employers have no more than a dozen workers on visas. Foreign workers are more common in Silicon Valley, where Apple, Google and other tech companies have pushed for years for more H-1B visas.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Haiti Policy Doesn't Help Anyone,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Flowers with a message: Gov. Wolf, close immigrant detention center now",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Addressing Asylum Abuses,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Many liberals instinctively want to stand with the Latinos and others who have been staging huge, semi-spontaneous pro-immigrant rallies across the country recently.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lopez said it's unacceptable for undocumented immigrants to be targeted by criminals.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The plan would give guest-worker status to the immigrants and eventually could lead to permanent legal status to some of the 3 million Mexicans now in the United States unlawfully.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The ruling sets the stage for a potential trial in a lawsuit that alleges racial profiling in the patrols in Maricopa County, Ariz., and would further limit Sheriff Joe Arpaio's immigration authority after Washington yanked his federal powers this month.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A fresh analysis of 1990 census results found that the economic progress by blacks in Queens, New York City's quintessential middle-class borough, was built largely on a traditional foundation of family solidarity. Married couples, whether born here or abroad, typically made the greatest strides, while households headed by individuals generally lagged.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In a key test of the constitutional rights of illegal aliens, the Supreme Court agreed today to decide whether Texas can refuse to provide a free public education for their children.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Latest Big Boom: Citizenship,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The state attorney general, Luther Strange, is recommending that the Legislature repeal the parts of Alabama's tough new immigration law that have been put on hold by federal courts and clarify some others.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"In Georgia, Newest Immigrants Unsettle an Old Sense of Place",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hole-hearted effort Pol presented doughnut for empty bid to aid immigrant students,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"These ""illegal immigrants"" are in a life- and-death struggle.",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mike Huckabee wrote a book this year in which he lamented the ''seething anger'' surrounding the immigration debate, advocated giving illegal immigrants a path to citizenship and concluded that in the debate ''some of the rage is fueled by prejudice.''",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fact-checking Donald Trump's immigration speech,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hispanic business owners and professionals worry the new statewide initiative will target them for immigration checks just because of their ethnicity,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Officials to Review Immigrants' Solitary Confinement,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"We are neither Africans nor Americans, and if our African-American brothers and sisters think they have a problem with identity, they should see what we go through to identify ourselves. Nevertheless, we are glad to be in America.
",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"However, because of misdemeanor convictions in the 1990s -- domestic violence for Valente, and drunk and disorderly conduct and resisting arrest for Manuel -- both received deportation summons in 2008",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Actions from Obama on immigration reform would speak louder than words,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Illegal immigrants can't rent: Nebraska town reconsiders law,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gov. Gray Davis waded back into the immigration debate Saturday when he praised a group lobbying for legal status for all immigrants, while refusing to say whether he supported the group's key goals.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Keeping Sterling Safe,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Two restaurant operators accused of employing illegal immigrants and concealing the profit from their business pleaded guilty to federal money laundering charges yesterday.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Fewer People Are Entering U.S. Illegally, Report Says",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Preparing to Respond To Landmark Decisions,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The announcement came Monday after the first meeting of U.S. and Mexico immigration officials since inauguration of the North American Free Trade Agreement. The officials met to discuss proposals to reduce tensions along the border.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"It also said that it would give new training to judges on how to respond to foreign nationals' requests for case delays - a major cause of slower proceedings, according to the report.",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
An Algerian suspected of having links to a countryman charged with trying to smuggle explosives into the United States was ordered held without bond today.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"There's no such thing as a free lunch in economics, but high-skilled immigration is at least a heavily discounted one.
",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Light-skinned immigrants in the United States make more money on average than those with darker complexions, and the chief reason appears to be discrimination, a researcher says.",en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"''The issue is fairness for all of the immigrants who came to this country with a promise from this government that they would receive a chance for amnesty,",en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"The others were hospitalized, including a man with a broken back and pelvis.",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The immigrants undergo criminal background checks and receive employment authorization documents.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
California case echoes Florida's,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A pro-immigration rally that promised to bring tens of thousands of marchers from across the nation to Washington yesterday managed to draw only a paltry number of demonstrators, raising questions about the movement's tactics and staying power.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
That's when Bradley learned she can't get a passport because she can't prove she's a U.S. citizen: She's missing her citizenship papers.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
working as a waitress to pay rent.,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILLEGAL IMMIGRATION,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Unless immigration rules tightened, terror in U.S. could spread",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"She earned the chance to naturalize when she married her boyfriend, a citizen.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""This debate over illegal immigration - which has valid discussion points,"" he said, ""has had the effect of bringing out the worst in some people.""",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Man Seized At U.S. Capitol To Be Deported; No Charges Against Australian,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"The defeat of the Dream Act in the lame-duck session slams the lid for this Congress on any meaningful repair of the immigration system, but that should not be the end of it for President Obama and his administration.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration Bait and Switch,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"""I don't have anybody there,"" he said. ""I don't know anything about that place. They might as well just put me in Japan. It would be the same thing. How could I survive?""",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fairfax Woman Won't Be Deported,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Natalia Villalobos is a U.S. citizen, born and raised in the District. When she graduated from Emerson Preparatory School in 2015, she planned to enroll in college, study business and child development, and use those skills to open a day care where young children can thrive.
",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
devastating scores of families and the town they lived in.,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"A three-judge panel on the U.S. Court of Appeals for the 9th Circuit ruled Thursday that the Trump administration's restrictions on travel from seven majority-Muslim countries will remain on ice while the courts work through whether the restrictions are legal. This is only the beginning of a long battle, but there are a few arguments the judges dispensed with upfront.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"""We should have one simplified system,"" Ting said. ""You can either do that by taking away preferences for certain ethnic groups or by applying the same standard to everyone.""",en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Local businesses whose trade fluctuates with the snowbirds say they can't find enough qualified workers from the area to fill their seasonal needs. Job-seekers place the blame for the problem squarely with employers, who, they say, are unwilling to pay wages that are in pace with the area's high cost of living.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Candidates for Governor to Pay Back Taxes for Aliens,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trying to prevent future terrorists from entering the United States and tracking down and deporting criminal immigrants are very costly measures.,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"The unprecedented numbers of new drug and immigration indictments are inundating the five federal judicial districts along the nearly 2,000-mile border that stretches from the mouth of the Rio Grande in Texas to San Diego. Those now handle 26 percent of all federal criminal filings in the United States. The remaining 74 percent is spread among the country's 89 other district courts.",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazen daylight smuggling pours illegals into U.S.; For as little as $100, Mexicans join groups heading right past Border Patrol agents",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Where is the embrace?,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"As Justice Anthony Kennedy noted in his opinion: ""[T]he States are precluded from regulating conduct in a field that Congress, acting within its proper authority, has determined must be regulated by its exclusive governance."" Georgia legislators ignored warnings of this last year when considering HB 87 and chose to take the political rather than the legal path.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Many libraries have extensive English as a Second Language collections, and some have started buying books in foreign languages. But DeKalb's plan is unique because it involves adding books in several languages.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AIDS and Immigration,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"""I could have told you last week that there would not be that many people,"" said Ricardo Diaz, an organizer for A Day Without an Immigrant Coalition in Philadelphia. ""Our meetings were low-energy.""",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
An appeals judge Thursday blocked the release of an immigrant accused of threatening Attorney General Janet Reno. The decision came a day after another judge ordered him freed immediately because the government violated his constitutional rights.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"To deal with the problems posed by the illegal entry of Mexicans into the United States, the Reagan Administration has been shaping a policy to double the annual limit on legal immigration from Mexico and to establish an experimental ''guest worker'' program that would permit 50,000 Mexicans a year to enter the United States to seek employment.",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Reforming immigration reform,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
World Briefing Americas: Mexico: Talks With U.S. On Immigration,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Opponents argue they fill unwanted jobs that help underpin the state's economy.,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A federal judge ruled Thursday that a secret fax, which a witness said was written by an anti-Castro militant and links him to a campaign of bombings in Havana in 1997, can be viewed by jurors at his perjury trial.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The recordings haven't become hits on Spanish-language radio, here or in Mexico. But that's not unusual or discouraging for the artists when their music is based on Mexican corridos -- folkloric ballads that narrate everyday stories for everyday people. Derived from the name of a popular 18th-century ballad in Spain, corridos were exported to Mexico, where they carried news from village to village, playing a vital role in the Mexican Revolution of 1910.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Captain, 5 immigrants sentenced in smuggling",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Immigrants Fitting In to U.S., Report Says",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Attorneys representing the federal government, Sara Hernandez-Gonzalez and her late husband, Roberto Medina-Martinez, are declining to disclose the terms of their settlement. They intend to finalize their agreement by September and then file papers to dismiss the case, court records show.
",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IMMIGRANTS SHAPE U.S., STUDY SAYS",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" ""sanctuary"" jurisdictions ",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WAY FORWARD FOR BUSH,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IMMIGRATION BILL REVISED,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nearly three years after the Justice Department found that the nation's immigration courts were seriously overburdened and recommended hiring 40 new judges, only a few hirings have taken place and the case backlog is at its highest point in a decade, according to a study released Wednesday.",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The men, both former marines, are accused of conspiring to accept a bribe of $5,000 to take two prisoners to Los Angeles. The guards believed the prisoners were illegal immigrants from El Salvador, but one was actually an undercover Border Patrol agent who prosecutors said had received a tip that Mr. Smith was running a smuggling operation.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"In the second case, Victor Torres-Campos, 46, of Mexico was charged with possession with intent to transfer or use five or more identification documents, as well as false use of a Social Security number.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Collectively they send some $15 billion a year back to their families in Mexico and, according to a recent Denver Post article, they pay some $7 billion a year to the Social Security system, a huge subsidy because they will never benefit from it.
",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hispanic activists in San Jose and across California on Saturday launched a major campaign to combat anti-immigrant sentiment, get more Hispanics registered to vote and defeat a ballot measure intended to prevent illegal residents from using schools or other public services.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 ARRESTED IN SCAM ON IMMIGRANT DOCUMENTS,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IMMIGRATION 'MOCKUMENTARY',en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79 PASSENGERS HELD AS ALIENS,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"And for a few days after the flood, Mr. Kilgore held out the hope that the light that the flood shined on Bound Brook's immigrant community would help the wider community see and meet and help their Central American neighbors.",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"After deliberating for more than six hours Friday, jurors in the case of Branko Popic, the Serb refugee accused of falsifying his immigration papers, told a federal judge they couldn't reach a verdict.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"''Haitians who came to the United States seeking freedom and justice did not find it,'' Judge King wrote in a 180-page decision.  Instead, he said, ''they were confronted with an Immigration and Naturalization Service determined to deport them,'' and to do so ''irrespective of the merits of their asylum claims.''",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MORE COUPLES MARRYING TO TRY TO AVOID DEPORTATION,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kids of illegal aliens face bully treatment
",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Keller said the workers' union called his office in early June for legal advice. He says ABM had sent employees letters that said Immigration and Customs Enforcement was requiring workers to show documents proving they had legal status to work in the U.S.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Deng Chen and I first got together this past winter in a room he was renting in Flushing, Queens. The third-floor apartment had been partitioned, so that every room, except the kitchen, was occupied; there were eight people living there, all Chinese, some documented, some not. On a later visit, the holders of the apartment's lease would chastise Chen for bringing a stranger there, but on this occasion no one was around, so we sat on the floor of his spartan room, leaned against his bed and talked for nearly five hours.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"In a politically toxic Congress, where little got done and few dared to cross party lines, conservative darling Sen. Marco Rubio, R-Fla., huddled with liberal firebrand Sen. Charles Schumer, D-N.Y., to craft a sweeping bill to fix the broken immigration system. Republicans from South Carolina and Arizona worked with Democrats from Illinois and Colorado.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Undocumented workers account for 67 percent of people harvesting fruit, according to the Agriculture Department. They make up 61 percent of employees on vegetable farms, and as many as half of  all workers picking crops.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia Martinez's job was to find qualified workers for a poultry plant in South Georgia. But, federal investigators say, she also received money by helping illegal immigrants land jobs in the plant.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mexico's Leader Quietly Adopts A Warmer Approach to the U.S.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Simon Sandoval-Moshenberg, director of the Justice Center's Immigrant Advocacy Program, argued that such ""collateral arrests"" violate constitutional protections against illegal search and seizure that guarantee due process.
",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Seventy-seven year-old Dona Raquel Mendoza celebrated a new identity Saturday at the Freedom Festival on St. Paul's West Side. After more than 50 years as a resident alien, Mendoza became a U.S. citizen this year.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""It breaks my heart,"" Zoyla Cruz said in Spanish, teary at missing her little girl's latest moment in the spotlight. ""I'm dying. Imagine all those families separated by deportation.""
",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Q&A on the News,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Immigration': NSO's Many-Flavored Melting Pot,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Even as dozens of ships crammed with Chinese sail for U.S. shores, President Clinton announced a crackdown Friday on organized crime syndicates that have turned ""this transport in human cargo and traffic in human misery"" into a $ 3 billion-a-year enterprise.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" Advocacy groups barely waited for President Barack Obama to finish speaking about major changes to the U.S. immigration system to start warning about scams.
",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
``Law Line 9'' advice migrates to murky legal territory,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"""They talk big, but they never appropriate the money,"" said Jim Dorcy, a lobbyist with the Federation for American Immigration Reform. ""Until then, it's basically talk.""",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Obama to seek border aid,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Georgia and Alabama are asking a federal appeals court in Atlanta to stay legal arguments over their new immigration laws pending a U.S. Supreme Court decision on a similar measure in Arizona.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Despite the lack of physical evidence or obvious motive, Mr. Wong, who was already serving time for armed robbery, was found guilty based on the testimony of two witnesses, and sentenced to 25 years to life in prison.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Editorial: Republicans Wanted,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Debate on immigration to open,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Republicans Attack Shift In Cuba Policy,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"South Bay community leaders to launch Rapid Response Network to protect undocumented immigrants
",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Worker Next Door,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foreign people to wave the flag Immigrants toast Fourth with honor,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"More than 2,000 pro-immigration and labor demonstrators mobilized in East San Jose on Sunday in a powerful display of the persistent dream of American citizenship, despite federal inaction. The outpouring of demonstrators was organized by a loose coalition of community, church and labor organizations calling themselves the May 1st Coalition.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Without reform, though, the presence of what may be six million illegal aliens in this country exacts an economic and social toll. No one knows how high that toll is, either, or how much of it is offset by the advantages society gains from a low-wage work force that cannot receive benefits available to citizens.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Everyone wants a home, to work and to feel safe.
",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Terror Trial Evidence,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"U.S. Policy Appears to Deter Haitian Refugees; State Department Asks OAS to Consider Sending Mission to Help Restore Democracy, Order",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WILSON ANNOUCES ANEW, SAYS CLINTON 'FEARS' HIM / HE APPEARED ON NATIONAL TELEVISION. HIS TASK IS TO CARVE OUT A SPOT AMONG THE GOP HOPEFULS.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DID MARK PRYOR VOTE 'TO GIVE SOCIAL SECURITY BENEFITS TO ILLEGAL IMMIGRANTS'?
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The Media, Immigration and G.O.P. Donorism",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CULTURE, CUISINE, CAMARADERIE DRAW PORTUGUESE TO AREA CLUB",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Edwin Ives, 53, turned himself in Friday in Los Angeles after three of his foremen and an alleged alien smuggler were arrested earlier in the day at his 49-acre Ventura County ranch.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Courts block immigration law in Calif.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Urban Immigration,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U.S. REVOKES HAITIAN VISAS,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"United States officials have taken into custody a Palestinian they say is one of the senior leaders of Hamas, the militant Islamic group that has claimed responsibility for recent bombings in Israel, Attorney General Janet Reno said today.
",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration Still Makes America What It Is,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whitman Plans $2 Million to Help Immigrants Become Citizens,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigrants Aren't the Problem. We Are.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Republicans spar over immigration overhaul; White House hopefuls firm on support for war,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Company accused of preying on detained immigrants is under investigation,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration politics,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A 'neighborhood watch' at the nation's borders,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BEATINGS BY DEPUTIES SHOCKED THEIR BOSS SHERIFF VOWS PROBE WON'T BE A COVERUP,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Today anyone claiming asylum has the right, before being deported or excluded from the U.S., to press the claim at a hearing before an immigration judge. The hearing includes the usual protections of due process: representation by a lawyer, the right to call witnesses and so on.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration Reform,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mohawk, in a court filing, said it fired Carpenter because he hired illegal workers and violated company policy. It also denied the allegations in the other lawsuit.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A holistic approach to immigration,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The mobilization against smuggling of what the government calls  'special interest aliens' reflects new priorities as duties of  the former Immigration and Naturalization Service fall to the  Department of Homeland Security and ICE, the agency's investigative  arm.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"""Quite a few family take the paycheck, go straight to the casino, and come home with nothing,""",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GURU OF BIG OREGON COMMUNE FACING DEPORTATION,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Suburbs catering to newcomers,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The House, behind Speaker Newt Gingrich's strong endorsement, has already approved the measure.
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Darrell Goff, a Border Patrol agent in Baton Rouge, said Mr. Marie ''claims he fears some kind of persecution if he goes back to Syria.''",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"House conservatives' immigration efforts could upend Senate deal
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 the high court blocked an order to immediately open the hearings. That order was issued last month by a federal judge who had ruled that the closed hearings were unconstitutional.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hawaii Sen. Mazie Hirono: Immigration bill 'disadvantages women',en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Only after all available domestic workers within an area had been employed would visas be issued for foreign agricultural workers. The waiting list for visas would be reduced to 21 days from 60.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The 4 bills Congress is seriously considering to protect 'dreamers',en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"At an annual strategy conference in Denver, the chief of the nation's immigration agency on Wednesday announced a ""much more intensive"" focus on employers of unauthorized foreign workers.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
